subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
Methanotroph,other,2,linear,True,1,488,122,0.03221812,0.02012524,1.3257977962493896
Methanotroph,other,2,linear,True,2,488,122,0.0325803,0.018748593,1.2330691814422607
Methanotroph,other,2,linear,True,3,488,122,0.037401393,0.018657386,1.2300825119018557
"Iron, sulfur, hydrogen oxidizer",other,2,linear,False,0,188433,79,0.02723365,0.014466491,42021.65606737137
"Iron, sulfur, hydrogen oxidizer",other,2,linear,True,1,314,79,0.026705343,0.016283724,1.9460117816925049
"Iron, sulfur, hydrogen oxidizer",other,2,linear,True,2,314,79,0.028412763,0.016931616,0.6503500938415527
"Iron, sulfur, hydrogen oxidizer",other,2,linear,True,3,314,79,0.029515373,0.016936317,0.6478841304779053
Bacterial nitrifier,other,2,linear,False,0,185902,585,0.034968432,0.018331476,35936.26733660698
Bacterial nitrifier,other,2,linear,True,1,2339,585,0.03039467,0.018907703,22.120124340057373
Bacterial nitrifier,other,2,linear,True,2,2339,585,0.031699646,0.021745551,22.114595413208008
Bacterial nitrifier,other,2,linear,True,3,2339,585,0.033556666,0.019043278,22.134552001953125
Archaeal nitrifier,other,2,linear,False,0,187438,278,0.024016708,0.012622807,28213.944462299347
Archaeal nitrifier,other,2,linear,True,1,1110,278,0.017768532,0.013019348,4.66383957862854
Archaeal nitrifier,other,2,linear,True,2,1110,278,0.05572071,0.05758664,3.580690622329712
Archaeal nitrifier,other,2,linear,True,3,1110,278,0.018154413,0.013802614,3.589402675628662
Methanogen or Acetogen,other,2,linear,False,0,188796,6,0.053522233,0.03568012,42806.16822099686
Methanogen or Acetogen,other,2,linear,True,1,24,6,0.053808,0.029478353,1.7657301425933838
Methanogen or Acetogen,other,2,linear,True,2,24,6,0.054741044,0.025317803,0.0925190448760986
Methanogen or Acetogen,other,2,linear,True,3,24,6,0.05531195,0.025317803,0.0889003276824951
Heterotroph,other,2,tree,False,0,11741,35417,0.0352994968680088,0.0158404914339915,122.56075072288512
Nitrogen Fixer,other,2,tree,False,0,182430,1279,0.0349693198877892,0.0207830377849626,3875.8412280082703
Nitrogen Fixer,other,2,tree,True,1,5116,1279,0.0338847083509664,0.0208819035433346,81.55037713050842
Nitrogen Fixer,other,2,tree,True,2,5116,1279,0.0353779555075503,0.0214338561392196,75.48017454147339
Nitrogen Fixer,other,2,tree,True,3,5116,1279,0.0341974065934634,0.0200684760470387,70.02975368499756
